jmpJobID,omlPartGroupID,jmpPartLongDescriptionText,jmpPartShortDescription,completeddate,sellvalue,kw,ls,econ,age,cost,labourhours,GP,GM
14628-01-01,RTP,"70 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling

Inclusions
-	70 kW Packaged unit - Dual Stage Cooling Only 
-	50 mm PIR panel
-	75% Efficiency Enthalpy heat Exchanger
-	Corrosion Treated coils
-	Corrosion Treated EC Plug Fans c/w proprietary Air Volume controllers
-	Bypass dampers
-	Stainless steel drain tray

Functionality wired to a terminal strip for control by others
Filter/Mixing plenum by mech trade",70 kW Rooftop Packaged Unit                       ,2016-08-05,48500.0,70.0,3500.0,0,1849,26544.248262499998,180.25,21955.751737500002,0.45
14614-01-01,ERVCO,"HX-1
4000 l/s Energy Recovery Ventilator Unit
SA, OA : 3750 l/s
RA: 3450 L/s
Complete with:
-75% Efficiency Enthalpy Heat Exchanger
-EC Plug Fans
",4000 l/s Energy Recovery Ventilator Unit          ,2016-08-09,29900.0,80.0,4000.0,0,1845,15185.0422111,81.5,14714.9577889,0.49
14667-01-01,ERVCO,"5000 l/s Energy Recovery Ventilator Unit
SA : 5000 l/s
OA : 5000 l/s
RA : 5000 l/s",5000 l/s Energy Recovery Ventilator Unit          ,2016-08-09,33500.0,100.0,5000.0,0,1845,21911.995941499998,141.0,11588.004058500002,0.35
14667-02-01,ERVCO,"2000 l/s Energy Recovery Ventilator Unit
SA : 2000 l/s
OA : 2000 l/s
RA : 2000 l/s",2000 l/s Energy Recovery Ventilator Unit          ,2016-08-10,19295.0,40.0,2000.0,0,1844,12282.4988064,92.25,7012.501193599999,0.36
14667-01-02,ERVCO,"5000 l/s Energy Recovery Ventilator Unit
SA : 5000 l/s
OA : 5000 l/s
RA : 5000 l/s",5000 l/s Energy Recovery Ventilator Unit          ,2016-08-10,33500.0,100.0,5000.0,0,1844,25100.314857799996,162.25,8399.685142200004,0.25
14667-03-01,ERVCO,"2500 l/s Energy Recovery Ventilator Unit
SA : 2500 l/s
OA : 2500 l/s
RA : 2500 l/s",2500 l/s Energy Recovery Ventilator Unit          ,2016-08-10,23155.0,50.0,2500.0,0,1844,13900.5229906,91.75,9254.4770094,0.4
14643-01-01,RTP,"HRU-1
60 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling, EC Plug Fans, CPG Fan Speed Controllers, Integrated Economy and RABP (CO2 Mode) and 80% Efficient Counterflow Sensible Only Heat Exchanger

SA : 2700 l/s
OA : 1800 l/s
RA : 2700 l/s
",60 kW Rooftop Packaged Unit With Economy Cycle    ,2016-08-01,38500.5,60.0,2700.0,1,1853,28647.3153792,210.5,9853.184620799999,0.26
14630-01-01,PP,"1000 l/s PoolPac Unit with Single Stage Heating and Cooling
SA : 1000 l/s
OA : 1000 l/s
RA : 1000 l/s
",1000 l/s PoolPac Unit                             ,2016-08-17,28619.0,20.0,1000.0,0,1837,14008.423267600001,132.25,14610.576732399999,0.51
14683-01-02,RTP,"AHU-02-01 & AHU-02-02
82 kW Rooftop Packaged Unit with Dual Stage Reverse Cycle Unit.
Options Included: Return Air Bypass dampers.
                          CO2 Sensor.
SA : 3900 L/s
OA : 2600 L/s
RA : 2600 L/s
RABP: 1300 L/s

",82 kW Rooftop Packaged Unit                       ,2016-08-22,55389.0,82.0,3900.0,0,1832,32072.934079799998,186.5,23316.065920200002,0.42
14683-01-01,RTP,"AHU-02-01 & AHU-02-02
82 kW Rooftop Packaged Unit with Dual Stage Reverse Cycle Unit.
Options Included: Return Air Bypass dampers.
                          CO2 Sensor.
SA : 3900 L/s
OA : 2600 L/s
RA : 2600 L/s
RABP: 1300 L/s

",82 kW Rooftop Packaged Unit                       ,2016-08-22,55389.0,82.0,3900.0,0,1832,32455.254079799997,193.35,22933.745920200003,0.41
14642-01-01,PP,"PAC-1
3200 l/s PoolPac Unit with Dual Stage Heating and Cooling
Options included: Thermostat low level controller (Carel)
SA : 3200 l/s
OA : 3200 l/s
RA : 3200 l/s
",3200 l/s PoolPac Unit                             ,2016-08-26,56166.0,64.0,3200.0,0,1828,28467.8023649,176.25,27698.1976351,0.49
14642-02-01,PP,"PAC-2
1000 l/s PoolPac Unit with Single Stage Heating and Cooling
Options included: Thermostat low level controller (Carel)
SA : 1000 l/s
OA : 1000 l/s
RA : 1000 l/s
",1000 l/s PoolPac Unit                             ,2016-08-17,26134.0,20.0,1000.0,0,1837,13725.680708499998,124.0,12408.319291500002,0.47
14641-01-01,RTP,"32 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
HEX PAC
Option(s) included : Economy Cycle
                             EC Plug Fans
                             Reheat Coil
                             VSD Compressor
SA, OA: 1400 l/s   RA : 1400 l/s
",32 kW Rooftop Packaged Unit With Economy Cycle    ,2016-08-25,43612.0,32.0,1400.0,1,1829,26621.196958499997,187.0,16990.803041500003,0.39
14737-01-01,RTP,"AC-ES-1
23 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
Options included : Economy Cycle & RABP dampers
                           CO2 sensors
                           Advanced Control system
                           Sensible HX                          
                        
SA : 1100 l/s
OA : 550 l/s
RA : 550 l/s
RABP: 550 l/s



",23 kW Rooftop Packaged Unit With Economy Cycle    ,2016-08-17,34348.0,23.0,1100.0,1,1837,17599.0449292,139.3,16748.9550708,0.49
14288-01-01,PP,"Changing Room AHU
2000 l/s PoolPac Unit with Dual Stage Heating and Cooling
SA : 2000 l/s
OA : 2000 l/s
RA : 2100 l/s
",2000 l/s PoolPac Unit                             ,2016-09-01,41542.0,42.0,2100.0,0,1822,24266.901448899996,192.5,17275.098551100004,0.42
14650-01-01,PP,"PPAC-1
3200 l/s PoolPac Unit with Dual Stage Heating and Cooling
Options included: EC plug fans (ECP)
                          Bypass damper (BP)
                          Hot Gas Bypass (HG)
SA : 3200 l/s
OA : 3200 l/s
RA : 3200 l/s
",3200 l/s PoolPac Unit                             ,2016-08-31,62523.0,64.0,3200.0,0,1823,29067.7790349,181.75,33455.2209651,0.54
14756-01-01,RTP,"23 kW Rooftop Packaged Unit with Single Stage Heating and Cooling

PAC-G-01
SA : 755 l/s; OA : 755 l/s; RA : 640 l/s

Unit Includes:

-	80% efficient sensible-only heat Exchanger
-	Double-skinned 50mm PIR Sandwich Panel Cabinet
-	Corrosion Treated Coils
-	EC Plug Fans
-	Hot Gas Reheat Coils 
-	Half-day manufacturers commissioning assistance
-      Functionality wired to a terminal strip for control by other (Unless factory controls package is preferred)

",23 kW Rooftop Packaged Unit                       ,2016-08-23,25500.0,23.0,755.0,0,1831,18226.0128697,105.25,7273.9871303,0.29
14730-01-01,PP,"1000 l/s PoolPac Unit with Single Stage Heating and Cooling
AHU-POOL
SA & OA : 1000 l/s
",1000 l/s PoolPac Unit                             ,2016-08-26,26299.0,20.0,1000.0,0,1828,13999.942768500001,126.75,12299.057231499999,0.47
14449-01-01,DEHUM,"PRECON-1
1350 lps DX Preconditioner
50 kW compressor capacity
High Static EC Plug Type supply fan
Integrated timeclock and Special controls as per Aldi standard with
Sample/CO2 mode and remote MUI
Integrated filters
Half day commissioning assistance incl travel
",ACDHUM2-D                                         ,2016-08-29,51027.0,50.0,2500.0,1,1825,27509.8552441,186.75,23517.1447559,0.46
14603-01-01,ERVCO,"2000 l/s Energy Recovery Ventilator Unit
AHU-1
Option(s) : Economy Cycle 
                CO2 Mode
                Chilled Water Coil
                Hot Water Coil
                EC Plug Fans
SA : 2000 l/s  OA : 2000 l/s
",2000 l/s Energy Recovery Ventilator Unit With EC  ,2016-09-01,23082.0,40.0,2000.0,1,1822,16558.1947652,116.5,6523.805234799998,0.28
14692-01-01,PP,"AC-1
1700 l/s PoolPac Unit with Single Stage Heating and Cooling, 80% Efficient Non Metallic Sensible Only Counterflow Heat Exchanger, EC Plug Fans and CPG Constant Fan Speed Controllers
SA : 1700 l/s @ 350Pa ESP
OA : 1700 l/s
RA : 1700 l/s @ 350Pa ESP
",1700 l/s PoolPac Unit                             ,2016-09-09,25580.0,34.0,1700.0,0,1814,16708.289196200003,138.0,8871.710803799997,0.35
14686-01-01,DEHUM,"1350 L/s DX Preconditioner per ALDI Spec
Complete with:
-	80% efficient sensible-only heat exchanger
-	VSD compressors
-	Roof mounted condenser
-	Stainless Steel drain trays
-	Corrosion treated coils
-	EC plug fans
-	Supply air volume controller
-	Integrated timeclock and special controls per Aldi Standard - 3 off field devices to be fitted off in store by Electrical trade (2 CO2 and 1 Enthalpy sensor)
-	Deep bed filters
-	Half day commissioning assistance including travel
",ACDHUM2-D                                         ,2016-10-12,55500.0,27.0,1350.0,1,1781,30964.229925300006,185.5,24535.770074699994,0.44
14658-01-01,RTP,"27 kW Rooftop Packaged Unit with Single Stage Heating and Cooling

AHU/PA/DAS - SA : 1015 l/s; OA : 1015 l/s

Options:
- Return Air Bypass Dampers
- EC Plug Fans
- VSD Compressor (R410a)
- Factory Controls Package - incl room module (temp sensor and adjustment, on/off, status), CO2 sensor, run timer)
- Half Day Commissioning Supervision

",27 kW Rooftop Packaged Unit                       ,2016-09-30,32650.0,27.0,1015.0,0,1793,21379.640885799996,126.5,11270.359114200004,0.35
14767-01-01,DEHUM,"1215 l/s Dehumidification Unit
-	80% efficient sensible-only heat exchanger
-	2 off VSD compressors cooling only
-	Remote Condenser
-	Stainless Steel drain trays
-	Corrosion treated coils
-	EC plug fans
-	Factory controls package - Factory Tested
-	Deep bed + Panel filters
",ACDHUM2-D                                         ,2016-09-30,47840.0,24.3,1215.0,0,1793,25151.512817099996,195.0,22688.487182900004,0.47
14780-02-01,RTP,"AC-AUD3
16 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
SA : 750 l/s
OA : 750 l/s
RA : 750 l/s
",16 kW Rooftop Packaged Unit                       ,2016-10-04,21310.0,16.0,750.0,0,1789,13349.5462604,116.35,7960.4537396,0.37
14780-03-01,RTP,"AC-AUD1
20 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
SA : 1000 l/s
OA : 1000 l/s
RA : 1000 l/s",20kW Rooftop Packaged Unit                        ,2016-10-04,24590.0,20.0,1000.0,0,1789,12759.6867658,93.7,11830.3132342,0.48
14780-04-01,RTP,"AC-AUD4
20 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
SA : 1000 l/s
OA : 1000 l/s
RA : 1000 l/s",20kW Rooftop Packaged Unit                        ,2016-10-05,24372.0,20.0,1000.0,0,1788,12417.059803999997,101.7,11954.940196000003,0.49
14720-01-02,RTP,"70 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling
SA : 2700 l/s; OA : 2265 l/s; RA : 2700 l/s

Options
-	75% efficient Counter Flow Enthalpy HX
-	Dual stage reverse cycle compressors
-	EC plug fans - c/w proprietary air volume controllers
-	50 mm double skin PIR SW Panel cabinet
-	Integrated Economy c/w bypass dampers for provision of CO2 control
-	Custom configuration to suit available plant space
-	Manufacturers Commissioning assistance

",70 kW Rooftop Packaged Unit With Economy Cycle    ,2016-09-29,57000.0,70.0,2700.0,1,1794,28562.931239100002,183.0,28437.068760899998,0.5
14780-06-01,RTP,"AC-AUD6 & AC-AUD7
52 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling
SA : 2300 l/s
OA : 2300 l/s
RA : 2300 l/s
",52 kW Rooftop Packaged Unit                       ,2016-10-11,40164.0,52.0,2300.0,0,1782,25010.670502,171.85,15153.329498,0.38
14720-01-01,RTP,"70 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling
SA : 2700 l/s; OA : 2265 l/s; RA : 2700 l/s

Options
-	75% efficient Counter Flow Enthalpy HX
-	Dual stage reverse cycle compressors
-	EC plug fans - c/w proprietary air volume controllers
-	50 mm double skin PIR SW Panel cabinet
-	Integrated Economy c/w bypass dampers for provision of CO2 control
-	Custom configuration to suit available plant space
-	Manufacturers Commissioning assistance

",70 kW Rooftop Packaged Unit With Economy Cycle    ,2016-09-29,57000.0,70.0,2700.0,1,1794,29396.758949099996,198.0,27603.241050900004,0.48
14780-01-01,RTP,"AC-AUD2
16 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
SA : 750 l/s
OA : 750 l/s
RA : 750 l/s
",16 kW Rooftop Packaged Unit                       ,2016-10-04,21310.0,16.0,750.0,0,1789,12307.3076307,97.6,9002.6923693,0.42
14780-05-01,RTP,"AC-AUD5
23 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
SA : 1100 l/s
OA : 1100 l/s
RA : 1100 l/s
",23 kW Rooftop Packaged Unit                       ,2016-10-11,24590.0,23.0,1100.0,0,1782,14122.7406817,109.1,10467.2593183,0.43
14780-06-02,RTP,"AC-AUD6 & AC-AUD7
52 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling
SA : 2300 l/s
OA : 2300 l/s
RA : 2300 l/s
",52 kW Rooftop Packaged Unit                       ,2016-10-12,40164.0,52.0,2300.0,0,1781,24968.5608596,162.7,15195.439140400002,0.38
14815-01-01,PP,"1400 l/s PoolPac Unit with Single Stage Heating and Cooling
SA : 1400 l/s
OA : 1400 l/s
RA : 1400 l/s
",1400 l/s PoolPac Unit                             ,2016-10-24,30328.0,28.0,1400.0,0,1769,19723.149602999998,140.5,10604.850397000002,0.35
14800-01-01,PP,"1700 l/s PoolPac Unit with Single Stage Heating and Cooling
SA : 1700 l/s
OA : 1700 l/s
RA : 1700 l/s
",1700 l/s PoolPac Unit                             ,2016-10-12,34000.0,34.0,1700.0,0,1781,17117.0299306,133.5,16882.9700694,0.5
14789-01-01,DEHUM,"1200L/s DX Preconditioner per ALDI Spec
Precon-1
Complete With:
-	80% Sensible Only Heat Exchanger
-	VSD Compressor
-	Roof Mounted Condenser
-	Stainless Steel Drain Trays
-	Corrosion Treated Coils
-	EC Plug Fans
-	Supply Air Volume Controller
-	Integrated time-clock and special controls per ALDI standard - 3 off field devices to be fitted in store by electrical trade (2 CO2 and 1 Enthalpy Sensor)
-	Deep Bed Filters
-	Half Day Commissioning Assistance Incl. Travel
",ACDHUM2-D                                         ,2016-10-26,49500.0,24.0,1200.0,1,1767,28238.753076,176.5,21261.246924,0.43
14576-01-01,ERVCO,"PPAC-1 & 2
4000 l/s Energy Recovery Ventilator Unit c/w 80% Efficient Sensible Only Non Metallic Heat Exchanger, HHW Coil, Full Tropic Proof Corrosion Resistance, 50mm PIR Panel Construction (R value of 2.63 K.m²/W), EC Plug Fans and CPG Speed Controllers. 
SA : 4000 l/s @ 400Pa ESP
OA : 4000 l/s
RA : 4000 l/s @ 300Pa ESP",4000 l/s Energy Recovery Ventilator Unit          ,2016-10-06,25183.0,80.0,4000.0,0,1787,22015.1052016,133.75,3167.8947984000006,0.13
14759-04-01,PP,"PAC-1
1700 l/s PoolPac Unit with Single Stage Heating and Cooling c/w EC Plug fans and downgraded compressor
SA : 1700 l/s
OA : 1700 l/s
RA : 1700 l/s
",1700 l/s PoolPac Unit                             ,2016-10-13,28500.0,34.0,1700.0,0,1780,17269.5564858,142.5,11230.4435142,0.39
14576-01-02,ERVCO,"PPAC-1 & 2
4000 l/s Energy Recovery Ventilator Unit c/w 80% Efficient Sensible Only Non Metallic Heat Exchanger, HHW Coil, Full Tropic Proof Corrosion Resistance, 50mm PIR Panel Construction (R value of 2.63 K.m²/W), EC Plug Fans and CPG Speed Controllers. 
SA : 4000 l/s @ 400Pa ESP
OA : 4000 l/s
RA : 4000 l/s @ 300Pa ESP",4000 l/s Energy Recovery Ventilator Unit          ,2016-10-06,25183.0,80.0,4000.0,0,1787,19889.2430816,91.0,5293.7569183999985,0.21
14653-01-03,ERVCO,"ERV-1 - ERV-4
2500 l/s Energy Recovery Ventilator Unit
SA, OA, RA : 2500 l/s
Complete with:
-75% Efficiency Enthalpy Heat Exchanger
-Forward Curve Centrifugal Fans w/ VSD

",2500 l/s Energy Recovery Ventilator Unit          ,2016-10-10,15000.0,50.0,2500.0,0,1783,10409.455695100001,79.0,4590.544304899999,0.31
14653-01-01,ERVCO,"ERV-1 - ERV-4
2500 l/s Energy Recovery Ventilator Unit
SA, OA, RA : 2500 l/s
Complete with:
-75% Efficiency Enthalpy Heat Exchanger
-Forward Curve Centrifugal Fans w/ VSD

",2500 l/s Energy Recovery Ventilator Unit          ,2016-10-07,15000.0,50.0,2500.0,0,1786,11493.843235100001,100.0,3506.156764899999,0.23
14653-01-04,ERVCO,"ERV-1 - ERV-4
2500 l/s Energy Recovery Ventilator Unit
SA, OA, RA : 2500 l/s
Complete with:
-75% Efficiency Enthalpy Heat Exchanger
-Forward Curve Centrifugal Fans w/ VSD

",2500 l/s Energy Recovery Ventilator Unit          ,2016-10-10,15000.0,50.0,2500.0,0,1783,11613.455695100001,100.5,3386.5443048999987,0.23
14835-01-01,RTP,"45 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling
SA : 2000 l/s
OA : 2000 l/s
RA : 2000 l/s
",45 kW Rooftop Packaged Unit                       ,2016-10-17,31643.0,45.0,2000.0,0,1776,17836.8927235,123.5,13806.107276499999,0.44
14755-01-01,ERVCO,"ERV-1
3000 l/s Energy Recovery Ventilator Unit
Options Included: Hot Water Coil
                          Chilled Water Coil
                          EC Plug Fans
                          Corrosion Resistance Treatment
                          Sensible only Heat Exchanger
SA : 2750 l/s
OA : 2750 l/s
RA : 3350 l/s

",3000 l/s Energy Recovery Ventilator Unit          ,2016-10-12,28350.0,67.0,3350.0,0,1781,17403.113194,107.75,10946.886805999999,0.39
14814-01-01,DEHUM,"Laboratory Preconditioner
- 175 kW Capacity - 2 off Reverse Cycle VSD compressors
- CR Treated coils
- Stainless Steel drain tray
- PIR Sandwich Panel Cabinet
- EC Plug Supply Fans
- EC Axial Fans
- Proprietary heat exchanger
- G4 50 mm Panel Prefilter, F7 Deep Bed Filter
- Proprietary Controller",ACDHUM6-D                                         ,2016-11-02,116320.0,175.0,8750.0,1,1760,65486.6549061,340.25,50833.3450939,0.44
14843-01-01,ERVCO,"HRV-POOL
2500 l/s Energy Recovery Ventilator Unit
c/w: 80% Efficient Sensible Only Counterflow Plate Heat Exchanger, Tropic Proof Anti Corrosion Resistant, HHW Coil, EC Plug Fan (and CPG Speed Controllers), Special Construct Single Sided Access 
SA : 2500 l/s @ 350Pa ESP
OA : 2500 l/s
RA : 2500 l/s @ 350Pa ESP",2500 l/s Energy Recovery Ventilator Unit          ,2016-10-14,20187.0,50.0,2500.0,0,1779,15191.580210000002,107.5,4995.419789999998,0.25
14860-01-01,ERVCO,"8000 l/s Energy Recovery Ventilator Unit
c/w EC Plug Fans, HHW Coil, Tropic Proof Corrosion Resistant Coatings and Sensible Only Heat Exchanger.
SA : 8000 l/s
OA : 8000 l/s
RA : 8000 l/s",8000 l/s Energy Recovery Ventilator Unit          ,2016-10-21,44630.0,160.0,8000.0,0,1772,34737.7192317,195.25,9892.2807683,0.22
14880-01-01,PP,"1700 l/s PoolPac Unit with Single Stage Heating and Cooling.
Options included: Soft start for compressor
SA : 1700 l/s
OA : 1700 l/s
RA : 1700 l/s
",1700 l/s PoolPac Unit                             ,2016-10-31,37809.0,34.0,1700.0,0,1762,16494.168963699998,121.25,21314.831036300002,0.56
14879-01-01,PP,"2000 l/s PoolPac Unit with Dual Stage Heating and Cooling
SA : 1980 l/s
OA : 1980 l/s
RA : 2100 l/s
",2000 l/s PoolPac Unit                             ,2016-10-27,44343.0,42.0,2100.0,0,1766,22481.961480299997,140.25,21861.038519700003,0.49
14661-01-01,PP,"1200 l/s PoolPac Unit with Single Stage Heating and Cooling
SA : 1200 l/s
OA : 1200 l/s
RA : 1200 l/s
",1200 l/s PoolPac Unit                             ,2016-10-28,31642.0,24.0,1200.0,0,1765,15417.4494991,127.5,16224.5505009,0.51
14872-01-01,PP,"PAC-1
1400 l/s PoolPac Unit with Single Stage Heating and Cooling
Option included: SS drip tray.

SA : 1400 l/s
OA : 1400 l/s
RA : 1400 l/s


",1400 l/s PoolPac Unit                             ,2016-10-28,33009.0,28.0,1400.0,0,1765,16619.794852,127.0,16389.205148,0.5
14594-04-01,ERVCO,"3500 l/s Energy Recovery Ventilator Unit
THRU-5-4
Options Included: Sensible only heat exchanger
                            Hot water coil
SA : 3270 l/s   
RA : 3270 l/s
OA : 3270 l/s
",3500 l/s Energy Recovery Ventilator Unit          ,2016-11-01,24212.0,70.0,3500.0,0,1761,13484.654407000002,80.25,10727.345592999998,0.44
14870-01-01,PP,"1400 l/s PoolPac Unit with Single Stage Heating and Cooling
SA : 1400 l/s
OA : 1400 l/s
RA : 1400 l/s
",1400 l/s PoolPac Unit                             ,2016-11-10,29806.0,28.0,1400.0,0,1752,17355.6250393,147.5,12450.374960699999,0.42
14594-03-01,ERVCO,"3500 l/s Energy Recovery Ventilator Unit
THRU-5-3
Options Included: Sensible only heat exchanger
                            Hot water coil
SA : 3460 l/s   
RA : 3460 l/s
OA : 3460 l/s
",3500 l/s Energy Recovery Ventilator Unit          ,2016-11-02,24212.0,70.0,3500.0,0,1760,13600.628875199998,88.5,10611.371124800002,0.44
14885-01-01,PP,"Pool A/C
2300 l/s PoolPac Unit with 52kW Dual Stage Heating and Cooling, EC Plug Fans, CPG Constant Speed Fan Controllers, 50mm PIR Coolroom Panel Construction (R=2.63) and 80% Efficient Non Metallic Counterflow Heat Exchanger 
SA : 2300 l/s @ 400Pa ESP
OA : 2300 l/s
RA : 2300 l/s @ 400Pa ESP
",2300 l/s PoolPac Unit                             ,2016-11-15,36600.0,52.0,2300.0,0,1747,22515.8973431,142.75,14084.102656899999,0.38
14594-02-01,ERVCO,"3000 l/s Energy Recovery Ventilator Unit
THRU-5-2
Options included :   Sensible only heat exchanger
                            Hot water coil
SA : 2910 l/s   
RA : 2910 l/s
OA : 2910 l/s
",3000 l/s Energy Recovery Ventilator Unit          ,2016-11-03,23805.0,60.0,3000.0,0,1759,12363.2703805,87.5,11441.7296195,0.48
14594-01-01,ERVCO,"2500 l/s Energy Recovery Ventilator Unit
THRU-5-1
Options included: Sensible only heat exchanger
                            Hot water coil
SA : 2350 l/s   
RA : 2350 l/s
OA : 2350 l/s
",2500 l/s Energy Recovery Ventilator Unit          ,2016-11-01,20421.0,50.0,2500.0,0,1761,13094.5108965,106.0,7326.4891035,0.36
